crop,soil_type,pH,weather,available_N,available_P,available_K,rec_N,rec_P,rec_K,Urea(kg),SSP(kg),MOP(kg),fertilizer_N,fertilizer_P,fertilizer_K,notes,
Wheat,Black soil,6.8,Humid,Low (162),Low (12),High (131),47,21,20,102,131,33,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Cotton,Clay loam,5.6,Rainy,Low (175),Low (13),High (111),49,16,33,107,0,55,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Red Gram,Red soil,7.7,Rainy,Medium (219),Medium (18),High (151),23,18,20,50,112,33,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Cotton,Alluvial,7,Rainy,Medium (207),Medium (23),High (253),37,25,35,80,0,58,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Wheat,Red soil,7.7,Dry,Low (176),High (29),High (101),49,22,18,107,138,30,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Tomato,Sandy loam,6.5,Normal,High (251),Low (14),High (205),47,30,35,102,0,58,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Maize,Sandy loam,5.9,Humid,Medium (219),High (29),High (284),51,25,23,111,0,38,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Wheat,Sandy loam,7.5,Humid,Medium (241),Medium (21),High (126),46,25,23,100,156,38,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Potato,Alluvial,6.4,Rainy,Low (182),Medium (20),High (296),63,20,35,137,0,58,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Cotton,Clay loam,6.9,Rainy,High (285),High (26),High (115),35,19,31,76,0,52,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Wheat,Black soil,7,Normal,High (259),Medium (17),High (113),36,17,25,78,106,42,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Wheat,Red soil,6.3,Dry,Medium (227),Medium (22),High (165),40,24,23,87,150,38,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Maize,Red soil,6.7,Normal,Low (160),High (26),High (245),59,25,20,128,0,33,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Paddy,Black soil,6.6,Rainy,Medium (250),High (27),High (208),43,16,15,93,100,25,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Paddy,Sandy loam,6.2,Humid,High (262),High (26),High (156),44,16,25,96,100,42,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Soybean,Red soil,6.4,Rainy,High (273),Medium (21),High (174),29,19,25,63,119,42,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Sugarcane,Red soil,7.1,Normal,High (285),Low (12),High (124),86,27,39,187,0,65,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Wheat,Red soil,5.8,Dry,Low (150),High (30),High (277),36,25,18,78,156,30,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Wheat,Red soil,6.5,Humid,High (252),Medium (25),High (228),48,18,22,104,112,37,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Red Gram,Black soil,7.4,Dry,High (289),High (29),High (241),23,15,24,50,94,40,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Maize,Clay loam,6.3,Rainy,High (297),Medium (19),High (126),60,22,21,130,0,35,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Sugarcane,Black soil,7.6,Dry,Low (174),Low (15),High (179),85,34,38,185,0,63,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Red Gram,Alluvial,7.4,Dry,Medium (208),Low (14),High (298),21,15,19,46,94,32,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Potato,Black soil,6.2,Rainy,Medium (204),Low (13),High (296),51,29,35,111,0,58,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Red Gram,Red soil,6.8,Humid,Low (156),Medium (22),High (233),24,15,24,52,94,40,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Groundnut,Red soil,6.3,Rainy,Low (200),Medium (19),High (254),34,25,22,74,156,37,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Wheat,Red soil,7.2,Rainy,High (286),High (28),High (291),44,21,25,96,131,42,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Groundnut,Clay loam,6.1,Humid,Medium (224),High (26),High (159),27,22,30,59,138,50,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Wheat,Clay loam,6.4,Rainy,High (260),Medium (24),High (252),45,25,19,98,156,32,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Tomato,Clay loam,7.3,Humid,Low (151),Medium (18),High (294),58,22,29,126,0,48,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Groundnut,Sandy loam,7.4,Normal,Medium (202),Low (10),High (161),21,18,20,46,112,33,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Potato,Alluvial,5.7,Humid,Medium (238),High (30),High (197),50,26,34,109,0,57,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Red Gram,Sandy loam,7.5,Humid,High (273),Medium (17),High (108),20,15,18,43,94,30,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Potato,Sandy loam,6.4,Dry,Low (176),High (30),High (152),55,29,33,120,0,55,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Maize,Red soil,7.6,Rainy,Medium (249),Low (10),High (171),58,21,20,126,0,33,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Tomato,Alluvial,6,Dry,High (262),Medium (23),High (218),48,28,23,104,0,38,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Paddy,Black soil,6.5,Humid,High (263),Medium (22),High (265),41,17,24,89,106,40,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Soybean,Red soil,7.8,Normal,Medium (208),Medium (18),High (288),29,19,16,63,119,27,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Potato,Clay loam,6.5,Humid,Medium (216),High (30),High (240),69,25,38,150,0,63,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Sugarcane,Clay loam,6.8,Normal,Medium (237),Medium (23),High (284),96,30,39,209,0,65,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Potato,Black soil,6.6,Rainy,High (251),High (30),High (214),58,24,35,126,0,58,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Sugarcane,Alluvial,5.7,Normal,High (262),Low (11),High (194),98,30,37,213,0,62,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Soybean,Alluvial,7.6,Normal,Low (159),High (28),High (281),23,20,21,50,125,35,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Maize,Alluvial,6.8,Dry,Medium (230),High (29),High (118),58,23,20,126,0,33,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Groundnut,Black soil,7.2,Normal,High (278),Medium (18),High (171),35,15,30,76,94,50,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Groundnut,Sandy loam,5.6,Rainy,High (290),Low (10),High (153),35,24,24,76,150,40,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Tomato,Black soil,7.8,Normal,High (263),Medium (17),High (178),52,22,20,113,0,33,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Soybean,Red soil,5.7,Normal,Low (172),Medium (25),High (200),22,16,19,48,100,32,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Red Gram,Red soil,5.6,Normal,Medium (242),Medium (24),High (135),22,15,17,48,94,28,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Groundnut,Red soil,7.6,Rainy,High (271),Low (13),High (157),27,20,26,59,125,43,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Red Gram,Sandy loam,7.3,Rainy,Low (182),Low (14),High (105),27,18,21,59,112,35,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Tomato,Alluvial,7,Rainy,High (297),Medium (23),High (209),60,25,26,130,0,43,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Paddy,Red soil,6,Rainy,High (268),Low (14),High (198),48,16,18,104,100,30,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Sugarcane,Clay loam,6.2,Rainy,Low (175),High (27),High (144),86,31,36,187,0,60,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Sugarcane,Alluvial,6.9,Dry,Low (179),Medium (24),High (253),92,30,35,200,0,58,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Wheat,Red soil,5.6,Normal,High (292),Medium (22),High (209),36,19,21,78,119,35,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Red Gram,Black soil,5.7,Dry,Low (173),High (29),High (246),26,16,25,57,100,42,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Tomato,Clay loam,6.3,Normal,Low (151),Low (12),High (133),47,22,28,102,0,47,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Groundnut,Alluvial,5.9,Normal,Low (199),Low (13),High (124),33,23,20,72,144,33,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Potato,Sandy loam,7.5,Rainy,Low (151),Low (12),High (171),59,26,36,128,0,60,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Cotton,Clay loam,7.7,Normal,High (286),Medium (16),High (279),44,23,31,96,0,52,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Groundnut,Clay loam,6.3,Humid,Medium (213),Low (13),High (224),27,21,22,59,131,37,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Groundnut,Clay loam,6.1,Dry,Medium (203),Low (10),High (282),28,25,25,61,156,42,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Cotton,Black soil,5.7,Rainy,Low (187),Medium (17),High (224),48,20,35,104,0,58,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Soybean,Black soil,7.3,Dry,Medium (240),Low (15),High (289),23,20,25,50,125,42,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Cotton,Sandy loam,6.9,Humid,High (263),Medium (19),High (131),47,18,28,102,0,47,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Groundnut,Black soil,7.6,Normal,Medium (205),Low (13),High (250),22,17,21,48,106,35,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Tomato,Sandy loam,6.3,Humid,Medium (233),High (26),High (207),58,28,33,126,0,55,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Potato,Sandy loam,6,Humid,Low (172),High (30),High (177),68,30,40,148,0,67,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Cotton,Alluvial,5.7,Normal,Medium (232),Medium (19),High (215),47,22,26,102,0,43,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Maize,Alluvial,7.1,Rainy,High (261),Low (13),High (198),53,23,21,115,0,35,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Red Gram,Alluvial,6.4,Rainy,Low (190),High (30),High (238),25,17,20,54,106,33,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Paddy,Sandy loam,5.8,Normal,Medium (219),High (30),High (294),54,25,19,117,156,32,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Sugarcane,Sandy loam,6.7,Humid,High (291),High (29),High (256),86,28,32,187,0,53,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Cotton,Clay loam,6.2,Normal,High (285),Medium (22),High (146),40,17,31,87,0,52,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Sugarcane,Black soil,5.6,Normal,Low (193),High (26),High (171),93,28,40,202,0,67,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Paddy,Sandy loam,6.7,Normal,Low (173),Medium (18),High (147),43,15,16,93,94,27,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Tomato,Black soil,6.4,Humid,Medium (218),Low (15),High (150),57,24,25,124,0,42,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Red Gram,Black soil,6.9,Rainy,High (255),Low (15),High (139),22,18,19,48,112,32,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Red Gram,Clay loam,6.6,Dry,Medium (238),Medium (23),High (242),22,16,19,48,100,32,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Soybean,Clay loam,7.7,Humid,Medium (213),Low (12),High (116),27,19,17,59,119,28,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Maize,Sandy loam,5.8,Humid,High (267),Medium (20),High (102),56,23,23,122,0,38,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Paddy,Red soil,6.1,Humid,High (252),Medium (18),High (258),41,22,21,89,138,35,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Groundnut,Sandy loam,6.5,Humid,Medium (238),Medium (19),High (185),21,23,27,46,144,45,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Maize,Alluvial,7.7,Rainy,High (281),Medium (20),High (236),54,22,24,117,0,40,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Sugarcane,Alluvial,7.3,Rainy,High (252),Medium (17),High (216),93,33,39,202,0,65,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Groundnut,Alluvial,6.8,Rainy,High (292),Low (14),High (168),30,19,25,65,119,42,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Red Gram,Sandy loam,7.7,Dry,High (256),Medium (23),High (151),22,15,15,48,94,25,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Maize,Clay loam,7,Dry,Low (152),High (29),High (176),59,22,24,128,0,40,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Cotton,Red soil,7,Humid,Medium (216),Medium (20),High (149),41,18,35,89,0,58,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Sugarcane,Red soil,5.6,Normal,Medium (242),Low (14),High (141),94,30,34,204,0,57,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Potato,Black soil,7.6,Rainy,Medium (229),Low (13),High (300),70,20,35,152,0,58,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Cotton,Sandy loam,6.1,Dry,Medium (237),Medium (21),High (174),48,25,28,104,0,47,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Groundnut,Black soil,5.7,Rainy,Medium (201),Medium (19),High (225),34,20,22,74,125,37,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Maize,Black soil,7.2,Normal,High (277),Low (14),High (285),59,23,21,128,0,35,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Soybean,Clay loam,6.3,Dry,Medium (211),High (28),High (297),29,15,21,63,94,35,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Sugarcane,Black soil,5.5,Normal,High (263),High (30),High (280),100,31,33,217,0,55,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Soybean,Sandy loam,5.5,Rainy,High (300),High (28),High (219),26,15,16,57,94,27,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Tomato,Sandy loam,7.4,Normal,Low (159),High (29),High (280),56,28,23,122,0,38,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Potato,Black soil,7.5,Rainy,Medium (226),Low (10),High (257),67,26,33,146,0,55,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Red Gram,Clay loam,7.5,Humid,Low (194),Low (15),High (247),27,17,19,59,106,32,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Tomato,Red soil,6.2,Rainy,Medium (209),Medium (20),High (182),47,23,32,102,0,53,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Sugarcane,Clay loam,6.7,Dry,Low (187),High (27),High (270),100,34,31,217,0,52,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Wheat,Clay loam,6.9,Rainy,Low (151),Medium (19),High (270),36,19,17,78,119,28,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Potato,Alluvial,5.7,Humid,Low (182),Medium (16),High (264),52,20,36,113,0,60,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Groundnut,Clay loam,5.6,Dry,High (297),High (29),High (131),24,23,22,52,144,37,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Red Gram,Black soil,5.9,Dry,Low (185),Low (11),High (282),25,17,16,54,106,27,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Paddy,Clay loam,6,Humid,Low (187),Medium (17),High (203),46,25,21,100,156,35,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Paddy,Red soil,7.6,Rainy,High (288),Medium (17),High (261),45,18,22,98,112,37,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Paddy,Sandy loam,7.1,Rainy,High (263),Medium (22),High (239),54,17,22,117,106,37,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Cotton,Sandy loam,7.3,Normal,Low (161),Low (11),High (238),37,17,34,80,0,57,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Soybean,Red soil,6.3,Dry,High (251),Low (13),High (173),20,15,16,43,94,27,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Groundnut,Black soil,7.3,Rainy,Low (177),High (30),High (218),23,25,24,50,156,40,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Groundnut,Red soil,5.6,Rainy,Medium (209),Medium (25),High (162),31,23,24,67,144,40,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Maize,Red soil,6.3,Rainy,Low (166),High (26),High (103),55,23,21,120,0,35,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Potato,Black soil,6.6,Dry,Low (199),Low (15),High (269),59,22,36,128,0,60,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Potato,Alluvial,7.5,Dry,High (257),Medium (22),High (188),61,28,31,133,0,52,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Sugarcane,Red soil,7.6,Rainy,High (282),Medium (17),High (157),82,27,33,178,0,55,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Soybean,Red soil,7.4,Rainy,Medium (220),Low (11),High (207),21,15,19,46,94,32,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Groundnut,Alluvial,7,Rainy,Low (151),Medium (19),High (184),26,19,29,57,119,48,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Soybean,Red soil,6.4,Rainy,Low (156),Medium (24),High (223),27,17,18,59,106,30,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Potato,Clay loam,5.9,Rainy,High (286),Medium (16),High (235),66,20,35,143,0,58,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Potato,Black soil,7.3,Dry,High (296),Medium (22),High (108),67,22,36,146,0,60,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Soybean,Alluvial,7.6,Humid,High (262),Medium (22),High (163),26,20,25,57,125,42,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Red Gram,Sandy loam,6.7,Dry,High (251),Low (14),High (193),21,16,15,46,100,25,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Sugarcane,Black soil,7,Dry,Low (194),High (30),High (209),93,33,35,202,0,58,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Red Gram,Clay loam,5.5,Humid,Low (165),Low (11),High (101),29,15,18,63,94,30,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Cotton,Red soil,6.4,Dry,Medium (225),Medium (17),High (253),49,23,31,107,0,52,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Soybean,Black soil,6.2,Rainy,High (264),Medium (25),High (274),20,18,17,43,112,28,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Maize,Sandy loam,5.8,Normal,High (287),Medium (24),High (219),50,25,23,109,0,38,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Red Gram,Alluvial,6.6,Dry,Medium (201),Medium (18),High (242),21,20,24,46,125,40,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
